ID,regaty,klub,miejsceWRegatach
34422893,41227949,PGR,1
41291081,41227949,YCJ,2
88498990,41227949,AMW,3
68338668,41227949,HRM,4
58788821,41227949,OKZ,5
684574,41227949,LAM,6
99417923,41227949,YCS,7
99059865,41227949,INP,8
27499970,41227949,NAU,9
32898213,41227949,MUS,10
28789164,41227949,YCY,11
81881494,41227949,RRS,12
45395205,41227949,YCM,13
98155727,41227949,PRO,14
37644269,28212392,HRM,1
3251163,28212392,PGR,2
14471913,28212392,YCJ,3
71417328,28212392,MUS,4
35502551,28212392,INP,5
14572675,28212392,NAU,6
41869407,28212392,OKZ,7
45661895,28212392,RRS,8
94123342,28212392,YCS,9
16990749,28212392,LAM,10
74798595,28212392,AMW,11
12084362,28212392,YCY,12
92915061,28212392,MAG,13
76064288,28212392,PRO,14
81304083,86083690,PGR,1
68182325,86083690,INP,2
21381255,86083690,HRM,3
71791929,86083690,LAM,4
16813570,86083690,AMW,5
47874424,86083690,YCY,6
41347721,86083690,YCJ,7
6664773,86083690,MUS,8
12530989,86083690,NAU,9
97436896,86083690,YCS,10
58110037,86083690,RRS,11
36434093,86083690,OKZ,12
57881464,86083690,MAG,13
72344415,86083690,PRO,14
