Skrot,Nazwa
77R,77 Racing Club
AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
AWF,AZS AWFiS Gdańsk
AZS,AZS Poznań
BLX,Balex YKP Gdynia
BSA,BSA Flota Gdynia
DZY,PŻKS Dżygit Białystok
ETI,Etisoft Sailing Team Gliwice
FJS,Fujitsu Sailing Team
GAR,Miasto Gliwice KW Garland
GGR,GGR Nowy Sztynort Osada Wolności
GIZ,Giżycka Grupa Regatowa
GIŻ,Giżycka Grupa Regatowa
GRP,TFE Grupa Regatowa Powidz
GSP,Garden Space Sailing Club
HAL,Klub Żeglarski HALS Gostynin
HEA,Hear Studio Sailing Team
HOR,KŻ Horn Kraków
HRM,HRM Racing Yacht Club Gdańsk
IS2,KS Iskra AMW Gdynia
ISK,KS Iskra AMW Gdynia
JEP,Joker Pik
JEZ,Jeziorak Yacht Club
JKM,JKM Gryf Gdynia
JKS,Jacht Klub Sztynort
JMZ,JK Między Żaglami
JNG,Junga Gdynia Olsztyński Klub Żeglarski
JSG,MOWI Jachtklub Stoczni Gdańskiej
KKZ,Kościański Klub Żeglarski
KSW,KSW Baltic Dziwnów
LAS,RKS Lasery Zegrze
LE2,Legia Warszawa 2
LEG,Legia Warszawa
MEC,Port Mechelinki
MEW,Małe Elektrownie Wodne Micro Class
MIC,Inex Green Micro Class
MKŻ,Mazurski Klub Żeglarski
NAV,Interdoor UKS Navigo
NIE,KS Marina Niesulice
NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa
NSZ,Jachtklub Nowy Sztynort
OCC,Ocean Challenge Yacht Club Ladies Sailing Team
OD2,Odyssey Sailing Club 2
ODY,Odyssey Sailing Club
OKZ,Olsztyński Klub Żeglarski
ONB,Onboard
PGR,AZS Politechnika Gdańska
PJ2,Gandalf PPJK
PJK,Puchar Polski Jachtów Kabinowych
POG,SEJK Pogoń Szczecin
POL,Polsporty Sailing
POW,SKŻ Powidz
R2S,R2 Sailing Team
RBP,Regatta Business Poland
RSR,On Lemon Rockstars Racing
RST,RITS Sailing Team
SAT,Chotomowski KŻ Satchwell
SBU,SBU Yacht Racing Team
SCO,Stripes & Co
SEN,SEN Yachts Olsztyn
SLA,Slava Racing
SOL,KS Puchar Soliny
SOS,Sosnowski i przyjaciele
SPO,Sport Vita Ski & Sail
SRC,Symfonia Racing
SZT,Sztorm Grupa Warszawa
TBD,The Barking Dogs
TXT,TEXET Sailing Team
WAT,AZS WAT Warszawa
WEE,Wydział Elektryczny PW
WOL,UKS Albatros Wolin
WRO,FinGo Capital UKS Żeglarz Wrocław
WTR,Warszawskie Towarzystwo Regatowe
YCB,Yacht Club Białołęka
YCG,Yacht Club Gdańsk
YCS,Yacht Club Sopot
YKL,Lubelskie YKP Lublin
YKP,Yacht Klub Polski Gdynia
YKS,YKP Szczecin
YKW,YKP Warszawa
YS2,Yacht Club Sopot 2
YSZ,YKP Szczecin
YZ2,YKP Szczecin 2
ZEF,Zefir-Drakkar Poraj
